University,State,Private,SATm,SATv,SAT,ACT,SATm25,SATm75,SATv25,SATv75,ACT25,ACT75,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Instate,Outstate,Room.Board,Room,Board,Fees,Books,Personal,PhD,Terminal,S.F.Ratio,perc.Alumni,Expend,Grad.Rate,Sal.Prof,Sal.Assoc,Sal.Assist,Sal.All,Comp.Prof,Comp.Assoc,Comp.Assist,Comp.All,Num.Prof,Num.Assoc,Num.Assist,Num.Instruct,Num.Faculty
Winston-Salem State University,NC,2,405,369,774,*,325,425,320,375,*,*,1065,801,385,*,*,2069,748,1254,6272,2762,1342,1420,*,300,*,67,77,13.5,4,8064,46,480,421,365,407,587,516,451,500,39,48,30,6,149
Dickinson State University,ND,1,*,*,*,21,*,*,*,*,*,*,434,412,319,10,30,1376,237,1681,4486,2146,846,1300,176,600,2000,50,64,16.5,28,4525,46,402,342,302,316,506,432,376,397,9,14,33,13,71
Mayville State University,ND,1,*,*,*,20,*,*,*,*,*,*,233,233,153,5,12,658,58,1680,4486,2516,2516,*,240,600,1900,68,68,15.7,11,6971,51,415,*,313,340,519,*,399,429,9,4,21,3,37
Minot State University,ND,1,*,*,*,21,*,*,*,*,*,*,681,681,681,*,*,3299,602,1711,4260,1912,724,1188,*,600,1893,44,44,20.1,*,4076,*,457,383,331,347,563,477,416,436,34,41,68,16,188
University of North Dakota,ND,1,535,465,1000,23,460,610,390,520,19,25,2777,2249,1652,20,54,8334,1435,2110,5634,2703,1033,1670,318,450,1200,97,97,15.9,16,9424,49,460,391,345,379,572,489,431,473,130,124,163,27,472
Valley City State University,ND,1,*,*,*,*,*,*,*,*,*,*,368,344,212,5,27,863,189,1606,4286,2570,1820,750,245,600,2000,39,41,14.9,25,4958,40,403,368,313,340,501,462,383,425,12,14,16,6,54
North Dakota State University,ND,1,*,*,1040,23,*,*,*,*,18,25,2968,2297,1610,13,47,7368,1128,2310,5834,2744,1020,1724,198,600,2000,79,83,17.0,24,6310,42,473,391,353,398,545,458,420,467,130,125,149,6,423
Chadron State College,NE,1,*,*,*,21,*,*,*,*,*,*,1024,1024,547,5,17,1830,490,1575,2670,2668,1484,1184,210,500,*,62,62,25.0,27,4895,80,491,404,329,390,593,500,406,476,33,20,19,19,91
College of Saint Mary,NE,2,*,*,*,*,*,*,*,*,*,*,305,230,107,16,40,503,801,9000,9000,3500,3500,*,380,400,*,23,25,8.9,*,6696,47,*,321,293,300,*,395,347,362,5,13,19,6,43
Concordia College,NE,2,*,*,*,*,*,*,*,*,*,*,440,434,252,22,50,764,38,7896,7896,3270,*,*,610,450,1200,54,60,11.1,*,7589,80,352,316,282,320,423,390,357,393,22,16,15,1,54
Creighton University,NE,2,*,*,*,25,*,*,*,*,22,27,2967,2836,876,30,60,3450,644,10628,10628,4372,2416,1956,336,650,2055,85,90,6.5,32,22906,85,649,462,351,437,793,562,418,529,66,119,127,22,342
Dana College,NE,2,*,*,*,22,*,*,*,*,18,24,504,482,185,10,36,550,84,9130,9130,3322,1950,1372,465,450,1450,46,51,12.6,25,8686,54,338,300,276,300,404,368,336,364,11,11,11,3,36
Doane College,NE,2,*,*,*,23,*,*,*,*,20,25,793,709,244,20,47,1022,411,9570,9570,3000,1020,1980,250,400,1000,67,72,15.1,42,6852,60,436,392,326,360,521,465,391,431,17,7,28,5,57
Hastings College,NE,2,*,*,*,23,*,*,*,*,20,27,817,708,262,22,52,935,37,9376,9376,3272,1338,1934,396,500,1902,57,63,13.0,17,7335,52,426,359,305,353,516,434,369,426,19,19,24,4,66
University of Nebraska at Kearney,NE,1,*,*,*,21,*,*,*,*,18,24,2837,2697,1417,*,*,5764,1176,1665,2550,2630,1280,1350,243,450,1970,59,62,19.0,*,4393,55,509,433,365,409,618,533,448,502,81,89,92,9,309
Midland Lutheran College,NE,2,*,*,*,*,*,*,*,*,18,23,627,585,260,20,46,908,109,10300,10300,2970,1210,1760,*,*,*,42,45,14.5,*,6383,56,372,*,278,301,449,*,346,371,14,4,25,9,52
University of Nebraska at Omaha,NE,1,*,*,*,*,*,*,*,*,*,*,2704,2537,1766,*,*,6518,5560,1687,4560,*,*,*,117,600,*,77,77,19.7,*,*,19,528,446,417,452,635,540,507,547,149,115,97,36,403
Nebraska Wesleyan University,NE,2,*,*,*,23,*,*,*,*,*,*,969,762,382,23,64,1442,263,9540,9540,3320,*,*,309,500,1800,82,83,13.5,37,7561,*,454,381,327,396,548,468,400,481,37,23,25,2,87
Peru State College,NE,1,*,*,*,20,*,*,*,*,*,*,701,501,458,10,40,959,457,1432,2580,2624,1354,1270,254,500,900,48,100,20.1,24,4870,44,483,402,308,367,584,493,385,452,14,8,19,9,50
Union College,NE,2,*,*,*,*,*,*,*,*,18,24,355,304,168,*,*,447,111,8760,8760,2690,1540,1150,*,550,1800,48,48,8.5,36,9416,48,290,293,272,288,358,359,334,354,18,14,7,1,40
University of Nebraska at Lincoln,NE,1,513,447,960,22,*,*,*,*,*,*,6277,6003,3526,33,63,16454,3171,2055,5595,3145,1375,1770,360,500,2070,86,92,15.1,48,6813,53,661,477,410,523,792,584,505,635,436,344,316,31,1127
Wayne State College,NE,1,*,*,*,20,*,*,*,*,18,23,1373,1373,724,6,21,2754,474,1500,2700,2660,1230,1430,264,540,1660,60,68,20.3,29,4550,52,481,411,324,394,585,501,399,482,46,25,41,13,125
Bellevue University,NE,2,*,*,*,18,*,*,*,*,*,*,132,132,112,*,50,1032,943,3150,3150,*,*,*,130,500,2700,66,68,17.6,33,6705,*,379,340,289,317,449,404,346,378,6,12,23,0,41
Colby-Sawyer College,NH,2,443,440,883,20,390,500,385,485,18,20,910,776,208,*,*,618,40,14090,14090,5395,2980,2415,*,400,1000,*,75,12.9,30,10802,72,397,380,277,329,488,468,349,410,9,9,19,1,38
Dartmouth College,NH,2,692,627,1319,*,660,740,580,680,*,*,8587,2273,1087,87,99,3918,32,19545,19545,6070,3255,2815,105,550,1100,95,99,4.7,49,29619,98,785,536,429,610,1002,686,532,774,163,89,114,5,371
Franklin Pierce College,NH,2,424,403,827,*,360,480,350,450,*,*,5187,4471,446,3,14,1818,1197,13320,13320,4630,2500,2130,310,500,800,50,56,17.6,16,6418,51,470,382,323,399,605,487,412,510,28,29,17,2,76
New England College,NH,2,*,*,*,*,*,*,*,*,*,*,951,879,199,5,15,744,196,13325,13325,5335,2770,2565,*,*,*,42,52,9.5,25,10164,59,423,329,251,327,551,437,313,423,20,20,23,2,65
New Hampshire College,NH,2,433,383,816,*,385,495,340,426,*,*,1498,1275,292,*,17,1557,2973,10608,10608,4740,2760,1980,408,400,900,34,54,38.4,*,5523,76,567,425,356,459,728,558,464,597,31,32,15,5,83
Notre Dame College,NH,2,439,430,815,*,340,490,330,470,*,*,379,324,107,15,37,500,311,9990,9990,4900,2650,2250,280,400,600,44,47,12.1,26,4948,33,335,299,261,286,393,383,312,349,6,11,13,4,34
Rivier College,NH,2,*,*,*,*,360,500,370,480,*,*,484,386,141,6,28,590,1196,9870,9870,4860,4860,*,220,600,1100,59,59,12.2,19,6744,81,449,363,331,365,541,419,392,429,12,29,18,7,66
Saint Anselm College,NH,2,512,481,993,*,440,560,430,530,*,*,2095,1553,514,15,40,1873,94,12950,12950,5400,5400,*,300,450,1120,70,82,14.5,29,6719,97,512,403,338,381,633,508,435,483,16,35,51,7,109
University of New Hampshire,NH,1,536,476,1012,*,480,600,430,530,*,*,9750,7640,2529,24,62,10358,1338,3550,11180,3862,1648,2214,830,650,2450,89,87,17.5,16,7855,75,587,454,375,482,729,575,483,607,196,253,127,0,576
Keene State College,NH,1,463,424,887,*,*,*,*,*,*,*,3121,2446,822,5,19,3480,776,2590,7870,4157,2727,1438,756,500,1150,73,73,16.1,13,6195,61,494,417,337,426,622,532,439,542,61,46,40,2,149
Plymouth State College,NH,1,455,411,866,*,*,*,*,*,*,*,3321,2375,748,10,25,3483,374,2590,7870,4024,2689,1344,792,550,1100,82,85,18.8,22,5708,*,518,405,354,431,650,518,458,548,59,55,38,6,158
Bloomfield College,NJ,2,*,*,*,*,*,*,*,*,*,*,1694,1408,268,*,*,1312,685,8300,8300,4350,*,*,150,500,2370,53,55,14.4,16,7003,38,476,434,354,406,602,547,443,510,12,13,17,4,46
Centenary College,NJ,2,500,470,970,19,400,450,400,450,18,22,369,312,90,12,46,396,526,11400,11400,5400,5400,*,340,500,760,41,85,9.5,20,9583,24,*,305,252,266,*,371,310,326,1,10,16,9,36
College of Saint Elizabeth,NJ,2,486,464,950,*,400,550,400,520,*,*,444,359,122,34,53,493,968,10900,10900,5250,*,*,500,380,1000,68,70,11.4,23,9447,78,426,388,322,365,490,437,384,420,9,19,16,3,47
Drew University,NJ,2,603,564,1188,*,550,680,510,630,*,*,2153,1580,321,56,84,1192,87,18432,18432,5616,3224,2342,510,520,660,93,97,10.2,28,14907,83,603,463,386,529,762,580,479,664,61,28,15,4,108
Georgian Court College,NJ,2,474,441,915,*,420,520,400,475,*,*,348,281,127,12,52,1095,785,9150,9150,3950,1750,2200,130,500,800,56,59,12.2,27,7348,76,490,425,373,403,592,509,450,487,19,13,30,8,71
Felician College,NJ,2,440,410,850,*,380,460,380,470,*,*,420,280,155,6,33,505,640,8100,8100,*,*,*,220,500,*,66,70,11.2,1,8008,*,*,351,311,320,*,422,375,385,1,14,24,5,44
Jersey City State College,NJ,1,440,400,840,*,*,*,*,*,*,*,2957,1423,691,10,30,3817,1394,2798,3946,4800,2000,2800,646,400,1500,63,67,14.9,10,8367,26,649,525,405,520,840,697,558,692,80,66,90,1,237
Monmouth College,NJ,2,494,440,934,*,430,560,400,470,*,*,2707,1881,478,14,34,1893,847,12480,12480,5290,2700,2590,490,530,1740,70,85,14.2,15,9492,54,616,509,408,519,783,668,523,669,41,55,29,1,126
Montclair State University,NJ,1,487,431,918,*,418,566,371,496,*,*,5220,2128,865,19,53,6411,3186,2400,3648,4834,3160,1674,600,700,950,82,87,21.5,9,6717,58,647,521,417,532,802,661,541,672,155,130,125,9,419
New Jersey Institute of Technology,NJ,1,600,466,1066,*,550,650,410,530,*,*,1879,1216,483,27,62,3311,1646,4188,8832,5376,3764,1612,792,700,1850,92,98,13.5,19,12529,72,771,606,501,615,976,790,670,799,104,98,71,0,303
Kean College of New Jersey,NJ,1,463,417,880,*,*,*,*,*,*,*,3344,2322,1105,6,43,6804,3933,1965,2875,3840,2640,1200,590,600,*,76,85,17.2,*,6001,40,640,516,423,525,833,691,582,700,115,107,115,3,340
William Paterson College of New Jersey,NJ,1,485,428,913,*,410,520,370,460,*,*,5485,2662,1108,9,38,5938,2298,2385,3135,4170,2600,1570,25,300,*,77,78,23.5,13,6391,38,653,519,409,535,859,687,541,707,120,97,88,7,312
Princeton University,NJ,2,708,647,1355,*,645,737,583,678,*,*,13218,2042,1153,90,98,4540,146,19900,19900,5910,2696,3214,400,675,1575,91,96,8.4,54,28320,99,963,564,437,749,1154,686,534,901,402,66,179,16,702
Rider University,NJ,2,501,439,940,*,420,520,370,470,*,*,3586,2424,730,16,31,2748,1309,13250,13250,5420,*,*,215,700,3100,84,92,12.3,23,11299,70,636,552,511,564,764,668,604,677,59,103,41,1,208
Rutgers State University at Newark,NJ,1,529,459,988,*,480,580,400,510,*,*,5785,2690,499,26,62,4005,1886,3640,7410,4748,2780,1968,978,690,2009,90,95,17.4,16,11878,58,893,640,526,693,1097,812,682,871,141,125,73,16,374
Seton Hall University,NJ,2,496,443,938,*,430,560,390,490,*,*,4576,3565,1000,16,36,4384,1530,12000,12000,6484,4358,2126,550,650,1000,81,84,14.4,15,10080,64,736,557,414,553,894,683,507,675,98,110,101,13,332
Saint Peter's College,NJ,2,428,379,807,*,340,490,310,430,*,*,1606,1413,530,23,38,1921,1154,9408,9408,5520,2820,2700,295,500,450,78,78,12.1,22,7669,53,477,391,317,404,600,498,412,514,46,42,21,5,117
Stevens Institute of Technology,NJ,2,652,521,1173,*,600,710,450,600,*,*,1768,1249,380,51,93,1263,11,16900,16900,5680,5680,*,635,450,750,89,89,19.0,33,12837,79,647,494,415,544,807,634,525,685,66,37,30,4,137
Trenton State College,NJ,1,592,519,1111,*,540,650,470,570,*,*,5042,2312,944,55,94,5167,902,3116,5391,5411,*,*,896,700,1000,81,87,14.4,6,8504,81,644,524,422,525,845,691,557,690,108,81,123,1,313
Rutgers State University at Camden,NJ,1,545,489,1034,*,510,590,450,530,*,*,3366,1752,232,27,79,2585,1300,3641,7411,4748,2780,1968,849,690,2009,90,95,18.6,12,10134,57,860,633,510,648,1060,805,664,820,61,73,61,6,206
Rutgers at New Brunswick,NJ,1,594,513,1107,*,530,660,460,570,*,*,48094,26330,4520,36,79,21401,3712,3640,7410,4748,2780,1986,1003,690,2009,90,95,19.5,19,10474,77,846,611,478,665,1045,780,624,838,601,393,258,90,1374
Fairleigh Dickinson University,NJ,2,495,430,925,*,430,550,380,480,*,*,3148,1616,504,9,24,3553,3152,11010,11010,5400,2994,2406,611,623,*,77,87,16.7,8,9637,60,530,440,404,459,692,579,517,597,147,63,54,8,303
Ramapo College of New Jersey,NJ,1,510,460,970,*,450,560,410,500,*,*,2088,957,362,6,29,2745,1938,3227,4449,4860,3400,1460,*,600,1655,74,95,17.8,8,7333,47,645,527,407,532,835,701,563,706,49,40,41,1,131
Stockton College of New Jersey,NJ,1,552,489,1041,*,550,600,490,550,*,*,4019,1579,710,23,65,4365,765,2288,3040,4351,2775,1576,704,711,1125,78,92,19.5,7,5599,64,656,496,393,492,790,607,490,603,47,58,65,8,178
Saint John's College,NM,2,*,*,*,*,520,650,550,675,27,30,285,246,126,20,45,411,*,17430,17430,5720,2790,2930,200,275,950,73,89,9.8,20,14342,61,*,*,*,442,*,*,*,587,0,0,0,0,53
Eastern New Mexico University,NM,1,*,*,*,*,*,*,*,*,16,25,1256,1220,590,*,*,2762,587,1518,5586,2600,*,*,*,500,1200,73,80,19.6,2,5658,34,497,377,321,360,605,466,399,446,21,42,63,11,144
New Mexico Highlands University,NM,1,*,*,*,17,*,*,*,*,*,*,777,649,406,5,20,1630,384,1392,5148,2380,1430,950,20,400,*,72,78,17.4,*,7664,28,435,362,305,349,541,454,386,439,26,32,59,0,117
New Mexico Institute of Mining and Tech.,NM,1,*,*,*,26,*,*,*,*,*,*,787,601,233,40,73,1017,411,1302,5376,3214,3214,*,556,600,1100,99,100,13.7,11,9241,34,538,421,405,448,648,512,494,544,39,32,29,5,108
New Mexico State University,NM,1,*,*,*,22,*,*,*,*,19,25,4119,3200,1663,*,*,9673,3481,1980,6432,3148,1588,1580,*,550,1066,76,*,19.6,*,6106,40,524,433,360,434,641,531,444,533,202,167,196,17,582
Univ. of New Mexico-Main Campus,NM,1,*,*,*,22,430,580,390,530,19,24,3871,3349,1891,27,53,12257,5264,1884,7115,3516,*,*,420,584,500,91,88,14.3,*,8209,34,579,431,379,466,693,521,459,561,314,268,195,0,837
University of Nevada at Reno,NV,1,488,432,920,22,420,500,370,480,23,25,2868,2409,1524,*,*,5916,2939,1740,6490,4560,2635,1925,20,600,2900,78,80,15.4,12,10407,54,647,480,390,508,741,558,458,589,145,133,95,5,403
University of Nevada-Las Vegas,NV,1,486,417,903,21,*,*,*,*,17,23,*,2786,1595,25,50,7969,8008,1740,6490,4952,1702,3250,40,700,1700,76,84,14.8,14,8139,37,596,476,392,452,699,564,468,537,152,192,214,0,642
Dowling College,NY,2,440,400,840,18,370,520,340,440,16,20,1011,829,410,9,33,1059,2458,9000,9000,3100,*,3100,630,450,1413,77,78,12.4,7,11178,42,661,596,484,563,891,822,679,776,25,29,36,3,93
Alfred University,NY,2,*,*,*,*,540,660,480,580,23,28,1732,1425,472,37,75,1830,110,16548,16548,5406,2808,2598,424,500,600,82,88,11.3,31,10932,73,520,427,367,439,641,538,467,548,46,25,36,6,113
Bard College,NY,2,*,*,*,*,550,690,550,670,*,*,1910,838,285,50,85,1004,15,19264,19264,6206,*,*,496,750,750,98,98,10.4,30,13894,79,657,460,365,521,860,605,481,683,40,15,29,0,84
Canisius College,NY,2,*,*,*,*,500,570,390,450,19,24,2853,2193,753,16,34,2978,434,10750,10750,5340,2750,2590,326,400,1130,90,92,14.6,26,7972,64,542,480,370,468,679,599,450,582,57,73,51,0,181
Cazenovia College,NY,2,392,375,781,19,*,*,*,*,*,*,3847,3433,527,9,35,1010,12,9384,9384,4840,2420,2420,395,600,500,22,47,14.3,20,7697,118,443,354,295,337,549,445,374,423,8,13,21,3,45
Clarkson University,NY,2,612,518,1130,*,570,660,450,580,*,*,2174,1953,557,35,68,2332,53,15960,15960,5580,2622,2958,323,700,1300,95,95,15.8,32,11659,77,703,515,475,563,875,658,593,707,55,58,43,5,161
Colgate University,NY,2,623,563,1186,27,580,680,520,620,25,35,4856,2492,727,46,75,2649,25,19510,19510,5565,2690,2875,145,500,750,95,98,10.5,45,15494,93,669,505,406,539,848,637,497,677,78,61,56,3,198
College of Mount St. Vincent,NY,2,474,454,928,23,420,530,370,460,*,*,946,648,177,23,46,707,432,11790,11790,5770,*,*,60,500,1000,75,77,11.9,35,10015,83,*,388,336,366,*,476,410,450,5,24,20,7,56
College of New Rochelle,NY,2,415,415,830,*,*,*,*,*,*,*,551,437,143,*,*,2515,639,10200,10200,4628,*,*,*,*,*,87,*,37.5,*,*,*,539,449,391,447,693,579,499,574,11,38,17,1,67
College of Saint Rose,NY,2,*,*,*,*,434,568,436,594,18,24,983,664,249,23,57,1698,894,9990,9990,5666,*,*,150,800,1500,66,71,14.3,28,6084,64,456,408,329,374,534,503,403,455,19,50,46,14,129
Columbia University,NY,2,680,620,1300,*,630,720,590,680,*,*,6756,1930,871,78,96,3376,55,18624,18624,6664,3740,2924,486,550,300,97,98,5.9,21,30639,99,882,554,452,687,1136,767,646,915,477,185,199,11,923
Barnard College,NY,2,620,600,1220,*,570,660,540,640,*,*,2496,1402,531,53,95,2121,69,17926,17926,8124,4786,3338,720,600,850,83,93,10.3,33,12580,91,733,516,395,508,943,652,509,654,49,19,56,6,154
Concordia College,NY,2,467,435,902,*,*,*,*,*,*,*,303,198,101,10,40,443,153,9370,9370,4330,1870,2460,*,*,*,50,55,9.5,*,10497,53,352,289,275,303,436,366,363,387,11,6,14,1,32
Cooper Union,NY,2,740,600,1340,*,690,760,540,660,*,*,2339,307,197,*,100,959,26,*,*,8700,4700,4000,300,860,1450,67,100,8.1,36,18798,95,684,514,433,607,872,673,600,784,35,18,6,0,59
Cornell University,NY,2,*,*,*,*,640,740,540,640,*,*,19227,7171,3286,81,95,13072,*,19000,19000,6238,3658,2580,66,510,1060,91,91,6.9,22,22480,93,651,511,431,549,847,691,598,732,318,231,105,41,707
D'Youville College,NY,2,497,435,932,22,450,510,420,580,21,25,866,619,157,18,47,1074,336,8920,8920,4310,*,*,180,680,1320,68,68,14.6,42,6898,46,404,385,327,359,485,456,390,427,15,22,32,7,76
Dominican College of Blauvelt,NY,2,*,*,*,*,*,*,*,*,*,*,360,329,108,4,19,756,863,8310,8310,5500,5500,*,395,600,1800,43,43,12.7,5,5480,54,*,400,354,365,*,508,438,454,4,10,19,9,42
Elmira College,NY,2,496,463,959,23,430,550,410,520,20,26,1457,1045,345,27,50,1109,502,14990,14990,4980,2860,2180,300,450,550,77,98,21.5,21,7502,64,497,342,306,359,666,449,395,472,13,24,26,0,63
Fordham University,NY,2,535,506,1041,*,490,610,460,580,*,*,4200,2874,942,30,55,4740,1646,14235,14235,6965,6965,*,170,600,1735,86,97,14.4,14,10864,80,744,573,444,590,945,729,557,748,166,183,140,9,498
Hamilton College,NY,2,591,531,1122,*,550,645,490,590,*,*,3140,1783,454,40,82,1646,24,19700,19700,5050,2550,2500,*,300,800,91,96,9.6,60,17761,91,631,478,377,478,801,608,475,604,46,37,54,12,149
Hartwick College,NY,2,524,478,1002,23,470,570,420,520,21,26,2083,1725,430,22,49,1464,67,17480,17480,4780,2250,2530,300,500,700,75,87,12.3,32,11625,73,505,423,340,419,628,517,409,513,50,23,36,0,123
Hobart and William Smith Colleges,NY,2,*,*,*,*,550,600,490,540,24,27,2688,2081,500,25,53,1792,5,19029,19029,5841,2877,2964,431,600,600,99,99,12.1,37,13040,79,605,462,352,495,749,579,431,614,61,39,34,3,137
Hofstra University,NY,2,540,470,1010,24,480,590,430,560,23,27,7428,5860,1349,25,63,6534,1350,11600,11600,5920,3620,2300,650,1000,1000,81,90,13.9,10,10093,60,757,550,470,584,956,692,579,731,127,131,141,7,406
Houghton College,NY,2,535,508,1043,24,470,600,440,560,22,27,949,786,302,30,70,1210,26,9990,9990,3550,1850,1700,310,500,1500,85,90,15.0,24,8187,67,370,323,265,327,487,424,343,428,30,29,17,1,77
Hilbert College,NY,2,350,350,700,18,*,*,*,*,*,*,238,235,108,2,13,888,390,7500,7500,*,1730,2580,400,600,1160,31,38,14.3,*,4981,*,318,*,261,278,376,*,315,336,6,3,12,7,28
Iona College,NY,2,457,410,867,19,390,510,350,460,16,22,4892,3530,913,13,33,3906,1446,10690,10690,6790,*,*,270,570,1150,66,83,16.0,14,8107,66,594,462,393,461,756,594,496,587,42,81,59,10,192
Ithaca College,NY,2,*,*,*,*,500,600,450,540,*,*,7259,5526,1368,23,52,5612,166,14424,14424,6192,3062,3130,*,634,1000,58,79,11.5,25,9812,75,606,484,366,443,761,605,461,557,70,153,184,21,428
Keuka College,NY,2,495,451,946,22,440,540,390,490,*,*,461,381,174,10,43,738,55,9600,9600,4550,4550,*,265,600,750,55,94,13.3,43,7863,51,403,346,283,338,473,412,335,399,15,8,19,0,42
Le Moyne College,NY,2,*,*,*,*,480,590,420,510,23,27,1470,1199,425,21,76,1820,558,11040,11040,4840,1950,2890,320,400,900,89,92,13.3,28,8118,94,542,455,365,445,684,576,465,564,30,50,36,3,119
Manhattan College,NY,2,539,467,1006,*,510,590,430,540,*,*,2432,1730,563,20,63,2578,254,12370,12370,6800,6800,*,972,500,1800,92,92,13.6,25,10062,79,595,500,388,488,767,627,495,621,45,74,50,3,172
Marist College,NY,2,515,475,990,25,480,545,435,510,21,27,4731,3171,830,12,31,3557,658,10700,10700,5925,2400,3525,290,550,1200,74,81,17.6,34,8408,69,580,485,373,417,741,643,481,542,16,34,91,0,151
Marymount College Tarrytown,NY,2,456,460,916,*,400,500,410,530,*,*,478,327,117,9,34,731,370,11510,11510,6450,*,*,390,575,1075,71,93,10.3,30,10502,77,426,349,297,357,546,442,383,455,17,24,13,2,56
Marymount Manhattan College,NY,2,500,460,960,24,360,530,360,530,21,26,695,535,239,21,30,988,785,10200,10200,7000,7000,*,125,350,1100,63,76,11.7,20,10622,68,*,407,332,382,*,495,407,464,4,26,19,0,49
Mercy College,NY,2,*,*,*,*,*,*,*,*,*,*,1518,1378,788,6,24,4266,1811,7200,7200,*,*,*,*,500,800,67,67,13.8,*,5585,*,524,399,341,416,640,493,423,511,53,38,48,6,149
Molloy College,NY,2,468,435,903,*,350,540,340,490,*,*,481,401,185,16,40,1402,579,8800,8800,*,*,*,345,800,6900,38,40,9.7,13,3822,80,541,435,353,381,697,551,463,494,16,20,58,22,116
Medaille College,NY,2,*,*,*,*,*,*,*,*,*,*,384,223,143,6,41,1146,236,8920,8920,4400,2500,1900,80,800,2050,65,70,16.2,16,7891,*,435,371,276,349,525,446,322,418,11,16,13,2,43
Mount Saint Mary College,NY,2,450,450,900,19,390,530,370,460,*,*,1170,695,238,14,48,1170,429,7470,7470,4600,4600,*,260,250,1400,74,75,15.3,23,6898,88,514,407,349,395,633,505,424,482,14,8,23,6,51
Nazareth College of Rochester,NY,2,540,494,1034,24,488,588,454,554,23,27,947,798,266,36,68,1274,471,10850,10850,5150,5150,*,200,550,800,77,93,13.6,24,8797,61,513,428,343,430,634,533,425,532,37,33,35,0,105
New York University,NY,2,604,542,1146,*,550,650,490,600,*,*,13594,7244,2505,70,86,12408,2814,17748,17748,7262,*,*,991,450,1000,87,98,7.8,16,21227,71,887,591,507,683,1172,785,674,905,532,337,252,42,1231
Niagara University,NY,2,*,*,*,*,430,525,400,500,19,24,2220,1796,467,65,99,1919,334,10320,10320,4762,*,*,420,450,650,68,100,14.2,20,7788,65,503,430,376,443,612,524,448,537,39,43,24,2,108
Pace University,NY,2,517,441,958,*,450,600,375,475,*,*,8256,3750,1522,37,70,5809,4379,11100,11000,5160,1340,3420,350,660,1115,90,95,13.8,10,10059,62,685,513,436,576,851,643,556,720,187,124,77,3,397
Rensselaer Polytechnic Institute,NY,2,*,*,*,28,610,710,470,590,26,30,4996,4165,936,53,82,4291,16,17475,17475,5976,*,*,550,1230,1100,94,98,15.4,21,15605,70,750,548,475,640,922,703,601,799,190,118,61,0,369
Rochester Institute of Technology,NY,2,580,495,1075,26,520,640,440,550,22,28,4704,3798,1381,30,59,7176,2578,13968,13968,5670,2604,3066,261,500,875,*,78,10.8,7,13508,68,568,476,417,466,710,603,527,587,182,215,179,13,665
Sage Colleges,NY,2,503,481,984,22,*,*,*,*,*,*,419,170,373,*,*,1022,169,*,*,*,*,*,*,*,*,105,*,8.2,*,7194,64,487,409,351,397,609,506,435,493,19,56,37,6,118
Sarah Lawrence College,NY,2,560,590,1150,*,550,640,580,660,*,*,1380,768,263,57,82,1000,105,19300,19300,6694,4816,1878,264,600,700,89,93,6.1,18,14779,83,623,478,398,541,779,610,495,677,39,14,13,0,69
Skidmore College,NY,2,570,520,1090,25,515,620,470,570,*,*,4293,2728,591,25,62,2322,263,18710,18710,5970,3170,2515,215,500,700,87,92,12.7,29,14837,81,642,492,397,498,831,639,516,646,42,69,48,5,164
Siena College,NY,2,560,491,1051,24,540,640,440,540,25,28,2961,1932,628,24,68,2669,616,10800,10800,5100,2120,2980,310,575,1090,71,82,14.1,42,8189,100,515,429,357,434,667,567,474,570,52,53,49,1,155
St. Bonaventure University,NY,2,535,478,1013,25,480,580,420,520,22,27,1489,1313,375,13,45,1688,131,10456,10456,4927,2312,2615,395,500,1050,91,91,17.7,32,9828,78,492,398,377,425,642,535,495,562,56,51,43,4,154
St. Francis College,NY,2,*,*,*,*,*,*,*,*,*,*,1013,916,401,*,*,1562,695,6550,6550,*,*,*,150,450,*,63,63,19.3,18,5194,45,543,466,350,446,689,607,457,573,22,14,14,7,57
St. John Fisher College,NY,2,525,465,990,22,458,587,420,520,22,27,1368,1064,354,19,51,1687,677,10570,10570,5600,3550,2050,190,400,800,86,81,14.5,29,7908,66,513,427,376,432,635,512,451,524,29,40,36,1,106
St. Joseph's College,NY,2,483,442,917,19,410,520,400,495,*,*,707,512,222,17,44,1671,1512,7350,7350,*,*,*,322,600,1500,52,52,13.6,21,5961,74,495,398,349,372,584,478,419,446,12,15,46,8,81
St. Lawrence University,NY,2,573,510,1083,*,520,620,470,550,*,*,2753,1820,505,31,56,1801,45,18720,18720,5730,2960,2770,420,650,825,90,94,11.5,38,14980,85,627,473,366,488,799,613,472,627,50,56,40,7,153
St. Thomas Aquinas College,NY,2,425,400,825,*,*,*,*,*,*,*,861,609,215,10,27,1117,815,8650,8650,5700,*,*,150,500,1750,69,73,16.1,13,6534,67,510,408,374,419,617,526,454,515,18,16,26,3,63
SUNY at Albany,NY,1,580,506,1086,*,520,620,450,550,*,*,13528,9198,1843,16,61,10168,1231,2650,6550,4355,2950,1405,295,700,1560,93,96,17.4,16,9075,74,732,526,407,576,934,679,524,739,260,217,125,0,638
SUNY at Binghamton,NY,1,615,533,1148,26,570,670,480,580,*,*,14463,6166,1757,60,94,8544,671,2650,6550,4598,2690,1908,360,700,1000,83,100,18.0,15,8055,80,705,511,407,555,902,665,528,716,172,175,82,0,460
SUNY at Stony Brook,NY,1,542,464,1006,*,480,595,410,510,*,*,12512,6969,1724,27,66,9744,1351,2650,6550,4712,4712,*,295,600,1200,91,96,10.5,7,13705,57,755,534,414,589,961,688,526,751,346,216,183,24,801
